timestamp,open,high,low,close,volume
2019-09-06,140.0300,140.1600,138.2000,139.1000,17737384
2019-09-05,139.1100,140.3800,138.7600,140.0500,26101800
2019-09-04,137.3000,137.6900,136.4800,137.6300,17995900
2019-09-03,136.6100,137.2000,135.7000,136.0400,18869300
2019-08-30,139.1500,139.1800,136.2700,137.8600,23940100
2019-08-29,137.2500,138.4400,136.9100,138.1200,20168700
2019-08-28,134.8800,135.7600,133.5500,135.5600,17393300
2019-08-27,136.3900,136.7200,134.6600,135.7400,23102100
2019-08-26,134.9900,135.5600,133.9000,135.4500,20312600
2019-08-23,137.1900,138.3500,132.8000,133.3900,38508600
2019-08-22,138.6600,139.2000,136.2900,137.7800,18697000
2019-08-21,138.5500,139.4900,138.0000,138.7900,14970300
2019-08-20,138.2100,138.7100,137.2400,137.2600,21170800
2019-08-19,137.8500,138.5500,136.8900,138.4100,24355700
2019-08-16,134.8800,136.4600,134.7200,136.1300,24449100
2019-08-15,134.3900,134.5800,132.2500,133.6800,28074400
2019-08-14,136.3600,136.9200,133.6700,133.9800,32527300
2019-08-13,136.0500,138.8000,135.0000,138.6000,25154600
2019-08-12,137.0700,137.8600,135.2400,135.7900,20476600
2019-08-09,138.6100,139.3800,136.4600,137.7100,23466700
2019-08-08,136.6000,138.9900,135.9300,138.8900,27496500
2019-08-07,133.7900,135.6500,131.8280,135.2800,33414500
2019-08-06,133.8000,135.6800,133.2100,134.6900,32696700
2019-08-05,133.3000,133.9300,130.7800,132.2100,42749600
2019-08-02,138.0900,138.3200,135.2600,136.9000,30791600
2019-08-01,137.0000,140.9400,136.9300,138.0600,40557500
2019-07-31,140.3300,140.4900,135.0800,136.2700,38598800
2019-07-30,140.1400,141.2200,139.8000,140.3500,16846500
2019-07-29,141.5000,141.5100,139.3700,141.0300,16605900
2019-07-26,140.3700,141.6800,140.3000,141.3400,19037600
2019-07-25,140.4300,140.6100,139.3200,140.1900,18356900
2019-07-24,138.8968,140.7400,138.8500,140.7200,20738300
2019-07-23,139.7600,139.9900,138.0300,139.2900,18034600
2019-07-22,137.4100,139.1900,137.3300,138.4300,25074900
2019-07-19,140.2200,140.6700,136.4500,136.6200,48992400
2019-07-18,135.5500,136.6200,134.6700,136.4200,30808700
2019-07-17,137.7000,137.9300,136.2200,136.2700,20211000
2019-07-16,138.9600,139.0500,136.5200,137.0800,22726100
2019-07-15,139.4400,139.5400,138.4600,138.9000,16651500
2019-07-12,138.8500,139.1300,138.0100,138.9000,18936800
2019-07-11,138.2000,139.2200,137.8700,138.4000,22327900
2019-07-10,137.1300,138.5800,137.0200,137.8500,24204400
2019-07-09,136.0000,136.9700,135.8000,136.4600,19953100
2019-07-08,136.4000,137.1000,135.3700,136.9600,16779700
2019-07-05,135.9400,137.3300,135.7200,137.0600,18141100
2019-07-03,136.8000,137.7400,136.2950,137.4600,13629300
2019-07-02,136.1200,136.5900,135.3291,136.5800,15237800
2019-07-01,136.6300,136.7000,134.9700,135.6800,22654200
2019-06-28,134.5700,134.6000,133.1560,133.9600,30043000
2019-06-27,134.1400,134.7100,133.5100,134.1500,16557500
2019-06-26,134.3500,135.7327,133.6000,133.9300,23657700
2019-06-25,137.2500,137.5900,132.7300,133.4300,33327400
2019-06-24,137.0000,138.4000,137.0000,137.7800,20628800
2019-06-21,136.5800,137.7300,136.4600,136.9700,36727900
2019-06-20,137.4500,137.6600,135.7200,136.9500,33042600
2019-06-19,135.0000,135.9300,133.8100,135.6900,23744400
2019-06-18,134.1900,135.2400,133.5700,135.1600,25934500
2019-06-17,132.6300,133.7300,132.5300,132.8500,14517800
2019-06-14,132.2600,133.7900,131.6400,132.4500,17821700
2019-06-13,131.9800,132.6700,131.5600,132.3200,17200800
2019-06-12,131.4000,131.9700,130.7100,131.4900,17092500
2019-06-11,133.8800,134.2400,131.2760,132.1000,23913700
2019-06-10,132.4000,134.0800,132.0000,132.6000,26477100
2019-06-07,129.1903,132.2500,128.2600,131.4000,33885600
2019-06-06,126.4400,127.9700,125.6000,127.8200,21459000
2019-06-05,124.9500,125.8700,124.2100,125.8300,24926100
2019-06-04,121.2800,123.2800,120.6520,123.1600,29382600
2019-06-03,123.8500,124.3700,119.0100,119.8400,37983600
2019-05-31,124.2300,124.6150,123.3200,123.6800,26646800
2019-05-30,125.2610,125.7600,124.7800,125.7300,16829600
2019-05-29,125.3800,125.3900,124.0400,124.9400,22763100
2019-05-28,126.9800,128.0000,126.0500,126.1600,23128400
2019-05-24,126.9100,127.4150,125.9700,126.2400,14123400
2019-05-23,126.2000,126.2900,124.7400,126.1800,23603800
2019-05-22,126.6200,128.2400,126.5293,127.6700,15396500
2019-05-21,127.4300,127.5270,126.5800,126.9000,15293300
2019-05-20,126.5200,127.5890,125.7610,126.2200,23706900
2019-05-17,128.3050,130.4600,127.9200,128.0700,25770500
2019-05-16,126.7500,129.3800,126.4600,128.9300,30112200
2019-05-15,124.2600,126.7115,123.7000,126.0200,24722700
2019-05-14,123.8700,125.8800,123.7000,124.7300,25266300
2019-05-13,124.1100,125.5500,123.0400,123.3500,33944900
2019-05-10,124.9172,127.9300,123.8200,127.1300,30915100
2019-05-09,124.2950,125.7900,123.5700,125.5000,27235800
2019-05-08,125.4400,126.3700,124.7500,125.5100,28419000
2019-05-07,126.4600,127.1800,124.2200,125.5200,36017700
2019-05-06,126.3900,128.5600,126.1084,128.1500,24239800
2019-05-03,127.3600,129.4300,127.2500,128.9000,24911100
2019-05-02,127.9800,128.0000,125.5200,126.2100,27350200
2019-05-01,130.5300,130.6500,127.7000,127.8800,26821700
2019-04-30,129.8100,130.7000,129.3950,130.6000,24166500
2019-04-29,129.9000,130.1800,129.3500,129.7700,16324200
2019-04-26,129.7000,130.5150,129.0200,129.8900,23654900
2019-04-25,130.0600,131.3700,128.8300,129.1500,38033900
2019-04-24,125.7900,125.8500,124.5200,125.0100,31257000
2019-04-23,124.1000,125.5800,123.8300,125.4400,24025500
2019-04-22,122.6200,124.0000,122.5700,123.7600,15648700
2019-04-18,122.1900,123.5200,121.3020,123.3700,27991000
2019-04-17,121.2400,121.8500,120.5468,121.7700,19300900
2019-04-16,121.6400,121.6430,120.1000,120.7700,14071800
